cog,complex,complex_annotation,func,gene_name
Carbohydrate transport and metabolism,CPLX-157,"EIIBCglc - phosphorylated // ""glucose-specific PTS enzyme IIBC component""","EIIBCglc - phosphorylated // ""glucose-specific PTS enzyme IIBC component""",ptsG
Aminio acid transport and metabolism,ABC-13-CPLX,glutamate/aspartate ABC transporter membrane subunit GltJ,glutamate/aspartate ABC transporter membrane subunit GltJ,gltJ
Aminio acid transport and metabolism,ABC-13-CPLX,glutamate/aspartate ABC transporter membrane subunit GltK,glutamate/aspartate ABC transporter membrane subunit GltK,gltK
Aminio acid transport and metabolism,ABC-13-CPLX,glutamate/aspartate ABC transporter ATP binding subunit,glutamate/aspartate ABC transporter ATP binding subunit,gltL
Signal transduction mechanisms,ABC-13-CPLX,glutamate/aspartate ABC transporter periplasmic binding protein,glutamate/aspartate ABC transporter periplasmic binding protein,gltI
Aminio acid transport and metabolism,GLUTKIN-CPLX,glutamate 5-kinase,glutamate 5-kinase,proB
Aminio acid transport and metabolism,GLUTDECARBOXA-CPLX,glutamate decarboxylase A,glutamate decarboxylase A,gadA
Aminio acid transport and metabolism,GLUTDECARBOXB-CPLX,glutamate decarboxylase B,glutamate decarboxylase B,gadB
Aminio acid transport and metabolism,GDHA-CPLX,glutamate dehydrogenase,glutamate dehydrogenase,gdhA
Aminio acid transport and metabolism,GLUTAMATESYN-CPLX,glutamate synthase subunit GltB,glutamate synthase subunit GltB,gltB
Aminio acid transport and metabolism,GLUTAMATESYN-DIMER,glutamate synthase subunit GltB,glutamate synthase subunit GltB,gltB
Aminio acid transport and metabolism,CPLX0-7888,glutamate-pyruvate aminotransferase AlaA,glutamate-pyruvate aminotransferase AlaA,alaA
Aminio acid transport and metabolism,CPLX0-7887,glutamate-pyruvate aminotransferase AlaC,glutamate-pyruvate aminotransferase AlaC,alaC
Coenzyme transport and metabolism,GSAAMINOTRANS-CPLX,glutamate-1-semialdehyde aminotransferase,glutamate-1-semialdehyde aminotransferase,hemL
Aminio acid transport and metabolism,GLUTSEMIALDEHYDROG-CPLX,glutamate-5-semialdehyde dehydrogenase,glutamate-5-semialdehyde dehydrogenase,proA
Aminio acid transport and metabolism,CPLX0-7709,glutamate-putrescine ligase,glutamate-putrescine ligase,puuA
Aminio acid transport and metabolism,CPLX0-7694,glutaminase 1,glutaminase 1,glsA
Aminio acid transport and metabolism,CPLX0-7695,glutaminase 2,glutaminase 2,yneH
Aminio acid transport and metabolism,GLUTAMINESYN-OLIGOMER,"adenylyl-[glutamine synthetase] // ""glutamine synthetase""","adenylyl-[glutamine synthetase] // ""glutamine synthetase""",glnA
Coenzyme transport and metabolism,CPLX0-3741,glutamyl-tRNA reductase,glutamyl-tRNA reductase,hemA
No Specific COG Annotation,CPLX0-8201,glutarate hydroxylase GlaH,glutarate hydroxylase GlaH,csiD
"Post-translational modification, protein turnover, and chaperones",CPLX0-7817,glutaredoxin 4,glutaredoxin 4,grxD
"Post-translational modification, protein turnover, and chaperones",ABC-6-CPLX,glutathione/L-cysteine ABC exporter subunit CydC,glutathione/L-cysteine ABC exporter subunit CydC,cydC
"Post-translational modification, protein turnover, and chaperones",ABC-6-CPLX,glutathione/L-cysteine ABC exporter subunit CydD,glutathione/L-cysteine ABC exporter subunit CydD,cydD
"Post-translational modification, protein turnover, and chaperones",GST-CPLX,glutathione S-transferase GstA,glutathione S-transferase GstA,gstA
Aminio acid transport and metabolism,ABC-49-CPLX,glutathione ABC transporter periplasmic binding protein,glutathione ABC transporter periplasmic binding protein,gsiB
"Post-translational modification, protein turnover, and chaperones",ABC-49-CPLX,glutathione ABC transporter ATP binding subunit GsiA,glutathione ABC transporter ATP binding subunit GsiA,gsiA
Inorganic ion transport and metabolism,ABC-49-CPLX,glutathione ABC transporter membrane subunit GsiC,glutathione ABC transporter membrane subunit GsiC,gsiC
Inorganic ion transport and metabolism,ABC-49-CPLX,glutathione ABC transporter membrane subunit GsiD,glutathione ABC transporter membrane subunit GsiD,gsiD
Energy production and conversion,GLUTATHIONE-REDUCT-NADPH-CPLX,glutathione reductase (NADPH),glutathione reductase (NADPH),gor
"Translation, ribosomal structure, and biogenesis",GLUTATHIONE-SYN-CPLX,glutathione synthetase,glutathione synthetase,gshB
Energy production and conversion,CPLX0-7984,glutathionyl-hydroquinone reductase YqjG,glutathionyl-hydroquinone reductase YqjG,yqjG
Carbohydrate transport and metabolism,GAPDH-A-CPLX,glyceraldehyde-3-phosphate dehydrogenase A,glyceraldehyde-3-phosphate dehydrogenase A,gapA
Carbohydrate transport and metabolism,CPLX0-7654,glycerol facilitator,glycerol facilitator,glpF
Energy production and conversion,GLYCEROL-KIN-CPLX,glycerol kinase,glycerol kinase,glpK
Energy production and conversion,GLYC3PDEHYDROGBIOSYN-CPLX,glycerol-3-phosphate dehydrogenase,glycerol-3-phosphate dehydrogenase,gpsA
Lipid transport and metabolism,GLYCPDIESTER-PERI-CPLX,glycerophosphoryl diester phosphodiesterase GlpQ,glycerophosphoryl diester phosphodiesterase GlpQ,glpQ
Aminio acid transport and metabolism,ABC-26-CPLX,glycine betaine ABC transporter ATP binding subunit ProV,glycine betaine ABC transporter ATP binding subunit ProV,proV
Aminio acid transport and metabolism,ABC-40-CPLX,glycine betaine ABC transporter membrane subunit YehW,glycine betaine ABC transporter membrane subunit YehW,yehW
Aminio acid transport and metabolism,ABC-40-CPLX,glycine betaine ABC transporter ATP binding subunit YehX,glycine betaine ABC transporter ATP binding subunit YehX,yehX
Aminio acid transport and metabolism,ABC-40-CPLX,glycine betaine ABC transporter membrane subunit YehY,glycine betaine ABC transporter membrane subunit YehY,yehY
Cell wall/membrane/envelope biogenesis,ABC-40-CPLX,glycine betaine ABC transporter periplasmic binding protein OsmF,glycine betaine ABC transporter periplasmic binding protein OsmF,osmF
Energy production and conversion,GCVMULTI-CPLX,lipoamide dehydrogenase,lipoamide dehydrogenase,lpdA
Aminio acid transport and metabolism,GCVMULTI-CPLX,"lipoyl-GcvH-protein // ""glycine cleavage system H protein""","lipoyl-GcvH-protein // ""glycine cleavage system H protein""",gcvH
Aminio acid transport and metabolism,GCVMULTI-CPLX,glycine decarboxylase,glycine decarboxylase,gcvP
Aminio acid transport and metabolism,GCVMULTI-CPLX,GCVT-MONOMER,GCVT-MONOMER,gcvT
Aminio acid transport and metabolism,GCVP-CPLX,glycine decarboxylase,glycine decarboxylase,gcvP
"Translation, ribosomal structure, and biogenesis",GLYS-CPLX,glycine-tRNA ligase subunit α,glycine-tRNA ligase subunit α,glyQ
"Translation, ribosomal structure, and biogenesis",GLYS-CPLX,glycine-tRNA ligase subunit β,glycine-tRNA ligase subunit β,glyS
Carbohydrate transport and metabolism,GLYCOPHOSPHORYL-CPLX,glycogen phosphorylase,glycogen phosphorylase,glgP
Energy production and conversion,CPLX0-7458,"glycolate dehydrogenase, putative FAD-linked subunit","glycolate dehydrogenase, putative FAD-linked subunit",glcD
Energy production and conversion,CPLX0-7458,"glycolate dehydrogenase, putative FAD-binding subunit","glycolate dehydrogenase, putative FAD-binding subunit",glcE
"Secondary metabolites, biosynthesis, transport, and catabolism",GLYOXI-CPLX,glyoxalase I,glyoxalase I,gloA
"Secondary metabolites, biosynthesis, transport, and catabolism",GLYOCARBOLIG-CPLX,glyoxylate carboligase,glyoxylate carboligase,gcl
Energy production and conversion,CPLX0-235,glyoxylate reductase,glyoxylate reductase,ghrB
Defense Mechanisms,CPLX0-8263,guanidinium exporter,guanidinium exporter,sugE
Inorganic ion transport and metabolism,PPPGPPHYDRO-CPLX,"guanosine-5'-triphosphate,3'-diphosphate phosphatase","guanosine-5'-triphosphate,3'-diphosphate phosphatase",gppA
Nucleotide transport and metabolism,GUANYL-KIN-CPLX,guanylate kinase,guanylate kinase,gmk
"Post-translational modification, protein turnover, and chaperones",CPLX0-3921,"heat shock protein, hemimethylated DNA-binding protein","heat shock protein, hemimethylated DNA-binding protein",hspQ
Coenzyme transport and metabolism,CPLX0-8291,heme chaperone HemW,heme chaperone HemW,yggW
"Post-translational modification, protein turnover, and chaperones",ABC-35-CPLX,heme trafficking system ATP-binding protein,heme trafficking system ATP-binding protein,ccmA
"Post-translational modification, protein turnover, and chaperones",ABC-35-CPLX,heme trafficking system membrane protein CcmB,heme trafficking system membrane protein CcmB,ccmB
"Post-translational modification, protein turnover, and chaperones",ABC-35-CPLX,heme trafficking system membrane protein CcmC,heme trafficking system membrane protein CcmC,ccmC
"Post-translational modification, protein turnover, and chaperones",ABC-35-CPLX,periplasmic heme chaperone,periplasmic heme chaperone,ccmE
"Intracellular trafficking, secretion, and vesicular transport",ABC-35-CPLX,heme trafficking system membrane protein CcmD,heme trafficking system membrane protein CcmD,ccmD
Inorganic ion transport and metabolism,CPLX0-7810,heme-containing peroxidase/deferrochelatase,heme-containing peroxidase/deferrochelatase,efeB
Aminio acid transport and metabolism,HISTDEHYD-CPLX,histidinal/histidinol dehydrogenase,histidinal/histidinol dehydrogenase,hisD
Aminio acid transport and metabolism,ABC-14-CPLX,"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisM","lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisM",hisM
Aminio acid transport and metabolism,ABC-14-CPLX,"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, ATP binding subunit","lysine/arginine/ornithine ABC transporter / histidine ABC transporter, ATP binding subunit",hisP
Aminio acid transport and metabolism,ABC-14-CPLX,"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisQ","lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisQ",hisQ
Signal transduction mechanisms,ABC-14-CPLX,histidine ABC transporter periplasmic binding protein,histidine ABC transporter periplasmic binding protein,hisJ
"Translation, ribosomal structure, and biogenesis",HISS-CPLX,histidine-tRNA ligase,histidine-tRNA ligase,hisS
Aminio acid transport and metabolism,HISTPHOSTRANS-CPLX,histidinol-phosphate aminotransferase,histidinol-phosphate aminotransferase,hisC
Lipid transport and metabolism,HOLO-ACP-SYNTH-CPLX,holo-[acyl-carrier-protein] synthase,holo-[acyl-carrier-protein] synthase,acpS
"Post-translational modification, protein turnover, and chaperones",CPLX0-3323,periplasmic heme chaperone,periplasmic heme chaperone,ccmE
"Post-translational modification, protein turnover, and chaperones",CPLX0-3323,holocytochrome c synthetase membrane subunit CcmF,holocytochrome c synthetase membrane subunit CcmF,ccmF
"Post-translational modification, protein turnover, and chaperones",CPLX0-3323,holocytochrome c synthetase - thiol:disulfide oxidoreductase CcmG,holocytochrome c synthetase - thiol:disulfide oxidoreductase CcmG,ccmG
"Post-translational modification, protein turnover, and chaperones",CPLX0-3323,holocytochrome c synthetase - thiol:disulfide oxidoreductase CcmH,holocytochrome c synthetase - thiol:disulfide oxidoreductase CcmH,ccmH
Aminio acid transport and metabolism,HOMSUCTRAN-CPLX,homoserine O-succinyltransferase,homoserine O-succinyltransferase,metA
Aminio acid transport and metabolism,HOMOSERKIN-CPLX,homoserine kinase,homoserine kinase,thrB
Energy production and conversion,FORMHYDROGI-CPLX,hydrogenase 1 small subunit,hydrogenase 1 small subunit,hyaA
Energy production and conversion,FORMHYDROGI-CPLX,hydrogenase 1 large subunit,hydrogenase 1 large subunit,hyaB
Energy production and conversion,CPLX0-8167,hydrogenase 1 small subunit,hydrogenase 1 small subunit,hyaA
Energy production and conversion,CPLX0-8167,hydrogenase 1 large subunit,hydrogenase 1 large subunit,hyaB
Energy production and conversion,FORMHYDROG2-CPLX,hydrogenase 2 iron-sulfur protein,hydrogenase 2 iron-sulfur protein,hybA
Energy production and conversion,FORMHYDROG2-CPLX,hydrogenase 2 membrane subunit,hydrogenase 2 membrane subunit,hybB
Energy production and conversion,FORMHYDROG2-CPLX,hydrogenase 2 large subunit,hydrogenase 2 large subunit,hybC
Energy production and conversion,FORMHYDROG2-CPLX,hydrogenase 2 small subunit,hydrogenase 2 small subunit,hybO
Energy production and conversion,HYDROG3-CPLX,formate hydrogenlyase subunit HycE,formate hydrogenlyase subunit HycE,hycE
Energy production and conversion,HYDROG3-CPLX,formate hydrogenlyase subunit HycG,formate hydrogenlyase subunit HycG,hycG
Energy production and conversion,CPLX0-250,hydrogenase 4 catalytic subunit HyfG,hydrogenase 4 catalytic subunit HyfG,hyfG
Energy production and conversion,CPLX0-250,hydrogenase 4 component H,hydrogenase 4 component H,hyfH
"Post-translational modification, protein turnover, and chaperones",CPLX0-3561,hydrogenase isoenzymes nickel incorporation protein HypB,hydrogenase isoenzymes nickel incorporation protein HypB,hypB
Coenzyme transport and metabolism,CPLX0-8211,hydroxyethylthiazole kinase,hydroxyethylthiazole kinase,thiM
Nucleotide transport and metabolism,CPLX0-3961,hydroxyisourate hydrolase / transthyretin-related protein,hydroxyisourate hydrolase / transthyretin-related protein,hiuH
Coenzyme transport and metabolism,HMP-P-KIN-CPLX,pyridoxal kinase I,pyridoxal kinase I,pdxK
Carbohydrate transport and metabolism,CPLX-171,hydroxypyruvate isomerase,hydroxypyruvate isomerase,hyi
Nucleotide transport and metabolism,CPLX0-7685,hypoxanthine phosphoribosyltransferase,hypoxanthine phosphoribosyltransferase,hpt
Aminio acid transport and metabolism,GLUTAMIDOTRANS-CPLX,imidazole glycerol phosphate synthase subunit HisF,imidazole glycerol phosphate synthase subunit HisF,hisF
Aminio acid transport and metabolism,GLUTAMIDOTRANS-CPLX,imidazole glycerol phosphate synthase subunit HisH,imidazole glycerol phosphate synthase subunit HisH,hisH
Aminio acid transport and metabolism,IMIDHISTID-CPLX,imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase,imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase,hisB
Inorganic ion transport and metabolism,CPLX0-243,inorganic pyrophosphatase,inorganic pyrophosphatase,ppa
Nucleotide transport and metabolism,IMP-DEHYDROG-CPLX,inosine 5'-monophosphate dehydrogenase,inosine 5'-monophosphate dehydrogenase,guaB
Carbohydrate transport and metabolism,CPLX0-322,inosine/guanosine kinase,inosine/guanosine kinase,gsk
Cell wall/membrane/envelope biogenesis,ABC-45-CPLX,intermembrane phospholipid transport system protein MlaB,intermembrane phospholipid transport system protein MlaB,mlaB
Cell wall/membrane/envelope biogenesis,ABC-45-CPLX,"intermembrane phospholipid transport system, integral membrane subunit MlaE","intermembrane phospholipid transport system, integral membrane subunit MlaE",mlaE
Cell wall/membrane/envelope biogenesis,ABC-45-CPLX,"intermembrane phospholipid transport system, ATP binding subunit MlaF","intermembrane phospholipid transport system, ATP binding subunit MlaF",mlaF
No Specific COG Annotation,ABC-45-CPLX,"intermembrane phospholipid transport system, substrate binding protein MlaD","intermembrane phospholipid transport system, substrate binding protein MlaD",mlaD
Function unknown,CPLX0-8244,intermembrane transport protein PqiB,intermembrane transport protein PqiB,pqiB
Inorganic ion transport and metabolism,ABC-11-CPLX,iron(III) hydroxamate ABC transporter membrane subunit,iron(III) hydroxamate ABC transporter membrane subunit,fhuB
Inorganic ion transport and metabolism,ABC-11-CPLX,iron(III) hydroxamate ABC transporter ATP binding subunit,iron(III) hydroxamate ABC transporter ATP binding subunit,fhuC
Inorganic ion transport and metabolism,ABC-11-CPLX,iron(III) hydroxamate ABC transporter periplasmic binding protein,iron(III) hydroxamate ABC transporter periplasmic binding protein,fhuD
"Post-translational modification, protein turnover, and chaperones",CPLX0-7682,iron-sulfur cluster carrier protein NfuA,iron-sulfur cluster carrier protein NfuA,nfuA
"Post-translational modification, protein turnover, and chaperones",CPLX0-7617,iron-sulfur cluster insertion protein ErpA,iron-sulfur cluster insertion protein ErpA,erpA
"Post-translational modification, protein turnover, and chaperones",CPLX0-7908,iron-sulfur cluster insertion protein IscA,iron-sulfur cluster insertion protein IscA,iscA
"Post-translational modification, protein turnover, and chaperones",CPLX0-7824,iron-sulfur cluster insertion protein SufA,iron-sulfur cluster insertion protein SufA,sufA
Nucleotide transport and metabolism,CPLX0-3021,isoaspartyl dipeptidase,isoaspartyl dipeptidase,iadA
"Secondary metabolites, biosynthesis, transport, and catabolism",MENF-CPLX,isochorismate synthase MenF,isochorismate synthase MenF,menF
Energy production and conversion,ISOCITHASE-CPLX,isocitrate dehydrogenase,isocitrate dehydrogenase,icd
Signal transduction mechanisms,CPLX0-230,isocitrate dehydrogenase kinase/phosphatase,isocitrate dehydrogenase kinase/phosphatase,aceK
Energy production and conversion,ISOCITHASE-P,isocitrate dehydrogenase,isocitrate dehydrogenase,icd
