cog_class,cog_class_letter,cog_desc,desc,gene,go_biological_process,go_id,uniprot
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Acyl-CoA thioesterase 2 ,tesB,fatty acid catabolic process,GO:0009062,P0AGG2
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Thioredoxin-2 ,trxC,cell redox homeostasis,GO:0045454,P0AGG4
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Thioredoxin-2 ,trxC,glycerol ether metabolic process,GO:0006662,P0AGG4
Poorly Characterized,General function prediction only,General function prediction only,Protein tldD ,tldD,proteolysis,GO:0006508,P0AGG8
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Ribose transport system permease protein rbsC ,rbsC,D-ribose transmembrane transport,GO:0015752,P0AGI1
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Xylose transport system permease protein xylH ,xylH,carbohydrate transport,GO:0008643,P0AGI4
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Xylose transport system permease protein xylH ,xylH,D-xylose metabolic process,GO:0042732,P0AGI4
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Trk system potassium uptake protein trkA ,trkA,potassium ion transmembrane transport,GO:0071805,P0AGI8
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Trk system potassium uptake protein trkA ,trkA,potassium ion transport,GO:0006813,P0AGI8
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",tRNA guanosine-2'-O-methyltransferase ,trmH,tRNA guanine ribose methylation,GO:0002938,P0AGJ2
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",tRNA guanosine-2'-O-methyltransferase ,trmH,tRNA methylation,GO:0030488,P0AGJ2
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Uncharacterized tRNA/rRNA methyltransferase YfiF ,yfiF,enzyme-directed rRNA 2'-O-methylation,GO:0000453,P0AGJ5
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL ,trmL,wobble position cytosine ribose methylation,GO:0002131,P0AGJ7
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL ,trmL,wobble position uridine ribose methylation,GO:0002132,P0AGJ7
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Tyrosyl-tRNA synthetase ,tyrS,tRNA aminoacylation,GO:0043039,P0AGJ9
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Tyrosyl-tRNA synthetase ,tyrS,tyrosyl-tRNA aminoacylation,GO:0006437,P0AGJ9
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",RNA-binding protein YhbY ,yhbY,ribosomal large subunit assembly,GO:0000027,P0AGK4
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",RNA-binding protein YhbY ,yhbY,ribosomal small subunit assembly,GO:0000028,P0AGK4
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",RNA-binding protein YhbY ,yhbY,rRNA 5'-end processing,GO:0000967,P0AGK4
Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator iscR ,iscR,"regulation of transcription, DNA-templated",GO:0006355,P0AGK8
Poorly Characterized,Function unknown,Function unknown,Ribosomal RNA small subunit methyltransferase E ,rsmE,rRNA base methylation,GO:0070475,P0AGL7
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",50S ribosomal protein L18 ,rplR,translation,GO:0006412,P0C018
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Small heat shock protein ibpA ,ibpA,protein stabilization,GO:0050821,P0C054
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Small heat shock protein ibpA ,ibpA,response to heat,GO:0009408,P0C054
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Small heat shock protein ibpB ,ibpB,protein stabilization,GO:0050821,P0C058
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Small heat shock protein ibpB ,ibpB,response to heat,GO:0009408,P0C058
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Small heat shock protein ibpB ,ibpB,stress response to copper ion,GO:1990169,P0C058
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Membrane-bound lytic murein transglycosylase C ,mltC,cellular response to oxidative stress,GO:0034599,P0C066
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Membrane-bound lytic murein transglycosylase C ,mltC,cell wall macromolecule catabolic process,GO:0016998,P0C066
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Membrane-bound lytic murein transglycosylase C ,mltC,cell wall organization,GO:0071555,P0C066
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Membrane-bound lytic murein transglycosylase C ,mltC,peptidoglycan catabolic process,GO:0009253,P0C066
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Antitoxin RelB ,relB,"transcription, DNA-templated",GO:0006351,P0C079
Information Storage and Processing,Transcription,Transcription,HTH-type protein slmA ,slmA,division septum site selection,GO:0000918,P0C093
Information Storage and Processing,Transcription,Transcription,HTH-type protein slmA ,slmA,negative regulation of division septum assembly,GO:0010974,P0C093
Information Storage and Processing,Transcription,Transcription,HTH-type protein slmA ,slmA,negative regulation of protein polymerization,GO:0032272,P0C093
Information Storage and Processing,Transcription,Transcription,HTH-type protein slmA ,slmA,positive regulation of GTPase activity,GO:0043547,P0C093
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Peroxiredoxin osmC ,osmC,hyperosmotic response,GO:0006972,P0C0L2
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Peroxiredoxin osmC ,osmC,response to hydroperoxide,GO:0033194,P0C0L2
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Peroxiredoxin osmC ,osmC,response to oxidative stress,GO:0006979,P0C0L2
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Proline/betaine transporter ,proP,amino acid transport,GO:0006865,P0C0L7
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Proline/betaine transporter ,proP,cellular hyperosmotic response,GO:0071474,P0C0L7
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Proline/betaine transporter ,proP,cellular hyperosmotic salinity response,GO:0071475,P0C0L7
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Proline/betaine transporter ,proP,glycine betaine transport,GO:0031460,P0C0L7
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Proline/betaine transporter ,proP,osmosensory signaling pathway,GO:0007231,P0C0L7
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Proline/betaine transporter ,proP,proline import across plasma membrane,GO:1905647,P0C0L7
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosomal RNA large subunit methyltransferase E ,rlmE,enzyme-directed rRNA 2'-O-methylation,GO:0000453,P0C0R7
Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosomal RNA large subunit methyltransferase E ,rlmE,ribosomal large subunit assembly,GO:0000027,P0C0R7
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Small-conductance mechanosensitive channel ,mscS,cellular water homeostasis,GO:0009992,P0C0S1
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Small-conductance mechanosensitive channel ,mscS,ion transmembrane transport,GO:0034220,P0C0S1
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Small-conductance mechanosensitive channel ,mscS,protein homooligomerization,GO:0051260,P0C0S1
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-insensitive murein endopeptidase ,mepA,peptidoglycan biosynthetic process,GO:0009252,P0C0T5
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-insensitive murein endopeptidase ,mepA,peptidoglycan metabolic process,GO:0000270,P0C0T5
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Penicillin-insensitive murein endopeptidase ,mepA,response to drug,GO:0042493,P0C0T5
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Protease do ,degP,chaperone-mediated protein folding,GO:0061077,P0C0V0
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Protease do ,degP,protein folding,GO:0006457,P0C0V0
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Protease do ,degP,protein quality control for misfolded or incompletely synthesized proteins,GO:0006515,P0C0V0
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Protease do ,degP,proteolysis,GO:0006508,P0C0V0
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Protease do ,degP,response to heat,GO:0009408,P0C0V0
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Protease do ,degP,response to oxidative stress,GO:0006979,P0C0V0
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Protease do ,degP,response to temperature stimulus,GO:0009266,P0C0V0
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Beta-ketoadipyl-CoA thiolase ,paaJ,"3,4-dihydroxybenzoate catabolic process",GO:0019619,P0C7L2
