cofactor,cofactor_desc,cog_class,cog_class_letter,cog_desc,desc,gene,uniprot
[4Fe-4S] cluster,Binds 3 [4Fe-4S] clusters per subunit,Metabolism,Energy production and conversion,Energy production and conversion,Respiratory nitrate reductase 1 beta chain ,narH,P11349
[3Fe-4S] cluster,Binds 1 [3Fe-4S] cluster per subunit,Metabolism,Energy production and conversion,Energy production and conversion,Respiratory nitrate reductase 1 beta chain ,narH,P11349
heme,"Binds 2 heme groups per subunit. Heme 1, called the proximal or heme Bp in PubMed:12910261, is located at the cytoplasmic interface, heme 2, called the distal or heme Bd, is located at the periplasmic interface. Electrons are transferred from the periplasmic to the cytoplasmic heme (PubMed:12910261). Heme may be transferred to this protein by HemW (Probable)",Metabolism,Energy production and conversion,Energy production and conversion,Respiratory nitrate reductase 1 gamma chain ,narI,P11350
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,N-acetyl-gamma-glutamyl-phosphate reductase ,argC,P11446
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Argininosuccinate lyase ,argH,P11447
pantetheine 4'-phosphate,Binds 1 phosphopantetheine covalentl,Metabolism,"Secondary metabolites biosynthesis, transport and catabolism","Secondary metabolites biosynthesis, transport and catabolism",Enterobactin synthase component F ,entF,P11454
[4Fe-4S] cluster,Binds 1 [4Fe-4S] cluster per subunit,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Quinolinate synthase A ,nadA,P11458
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Protein damX ,damX,P11557
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Arginyl-tRNA synthetase ,argS,P11875
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase ,murF,P11880
FMNH2,"Reduced FMN (FMNH(2)). It can also use FAD, however FMN is the preferred cofactor",Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Chorismate synthase ,aroC,P12008
Mg(2+),Binds 1 Mg(2+) ion per subunit,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Molybdopterin molybdenumtransferase ,moeA,P12281
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Uracil-DNA glycosylase ,ung,P12295
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Uridine phosphorylase ,udp,P12758
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,UPF0098 protein ybhB ,ybhB,P12994
[4Fe-4S] cluster,Binds 1 [4Fe-4S] cluster. The cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methionine,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Biotin synthase ,bioB,P12996
[2Fe-2S] cluster,Binds 1 [2Fe-2S] cluster. The cluster is coordinated with 3 cysteines and 1 arginine,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,Biotin synthase ,bioB,P12996
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Carboxylesterase BioH ,bioH,P13001
Zn(2+),Binds 1 zinc ion per subuni,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Methionine synthase ,metH,P13009
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Protein FdhE ,fdhE,P13024
heme b,Binds 2 heme B (iron-protoporphyrin IX) groups per tetramer,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Catalase-peroxidase ,katG,P13029
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Fe(3+) dicitrate transport protein fecA ,fecA,P13036
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Enterochelin esterase ,fes,P13039
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,RNA polymerase sigma factor rpoS ,rpoS,P13445
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Nuclease sbcCD subunit C ,sbcC,P13458
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Periplasmic trehalase ,treA,P13482
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Ribosomal-protein-serine acetyltransferase ,rimL,P13857
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Selenocysteine-specific elongation factor ,selB,P14081
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Glycine betaine/L-proline transport ATP-binding protein ProV ,proV,P14175
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Glycine betaine/L-proline transport system permease protein proW ,proW,P14176
Mg(2+),"Binds two Mg(2+) ions per subunit. The magnesium ions form salt bridges with both the protein and the DNA. Can also accept other divalent metal cations, such as Mn(2+) or Ca(2+)",Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",DNA topoisomerase 3 ,topB,P14294
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Sensor kinase protein RcsC ,rcsC,P14376
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,UDP-N-acetylmuramoylalanine--D-glutamate ligase ,murD,P14900
Mn(2+),Binds 2 manganese ions per subuni,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Xaa-Pro aminopeptidase ,pepP,P15034
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Helicase IV ,helD,P15038
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase ",entA,P15047
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Glycogen debranching enzyme ,glgX,P15067
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Carbon starvation protein A ,cstA,P15078
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Glucitol operon repressor ,srlR,P15082
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Phosphoribosylformylglycinamidine synthase ,purL,P15254
Zn(2+),Binds 2 Zn(2+) ions per subunit. Can also use Co(2+),Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aminoacyl-histidine dipeptidase ,pepD,P15288
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Antitoxin PrlF ,prlF,P15373
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Bifunctional purine biosynthesis protein purH ,purH,P15639
Mg(2+),Binds 1 Mg(2+) or Mn(2+) ion per subunit,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Phosphoribosylamine--glycine ligase ,purD,P15640
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Shikimate dehydrogenase ,aroE,P15770
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,4-alpha-glucanotransferase ,malQ,P15977
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aromatic amino acid transport protein AroP ,aroP,P15993
[4Fe-4S] cluster,Binds 1 [4Fe-4S] cluster,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,L-serine dehydratase 1 ,sdaA,P16095
[4Fe-4S] cluster,Binds 1 [4Fe-4S] cluster,Metabolism,Energy production and conversion,Energy production and conversion,Formate hydrogenlyase subunit 5 ,hycE,P16431
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Acetate operon repressor ,iclR,P16528
None,No known associated cofactor,Information Storage and Processing,"Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis",Prolyl-tRNA synthetase ,proS,P16659
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Sulfate/thiosulfate import ATP-binding protein CysA ,cysA,P16676
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Protein phnB ,phnB,P16681
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Thiosulfate-binding protein ,cysP,P16700
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Sulfate transport system permease protein CysT ,cysU,P16701
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,FhuE receptor ,fhuE,P16869
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Rod shape-determining protein mreC ,mreC,P16926
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Protein gutQ ,gutQ,P17115
FMN,Binds 1 FMN per monomer,Metabolism,Energy production and conversion,Energy production and conversion,Oxygen-insensitive NADPH nitroreductase ,nfsA,P17117
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] ,glmS,P17169
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Colicin I receptor ,cirA,P17315
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase ,murG,P17443
K(+),Binds 2 potassium ions per subunit,Metabolism,Energy production and conversion,Energy production and conversion,Betaine aldehyde dehydrogenase ,betB,P17445
[4Fe-4S] cluster,"Binds 1 [4Fe-4S] cluster. The cluster does not appear to play a role in catalysis, but is probably involved in the proper positioning of the enzyme along the DNA stran",Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",A/G-specific adenine glycosylase ,mutY,P17802
siroheme,Binds 1 siroheme per subunit,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Sulfite reductase [NADPH] hemoprotein beta-component ,cysI,P17846
[4Fe-4S] cluster,Binds 1 [4Fe-4S] cluster per subunit,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Sulfite reductase [NADPH] hemoprotein beta-component ,cysI,P17846
