cog,complex,complex_annotation,func,protein,subunits
"Post-translational modification, protein turnover, and chaperones",CPLX0-3921,"heat shock protein, hemimethylated DNA-binding protein","heat shock protein, hemimethylated DNA-binding protein",HspQ,2.0
Coenzyme transport and metabolism,CPLX0-8291,heme chaperone HemW,heme chaperone HemW,YggW,2.0
"Post-translational modification, protein turnover, and chaperones",ABC-35-CPLX,heme trafficking system CcmABCDE,heme trafficking system ATP-binding protein,CcmA,2.0
"Post-translational modification, protein turnover, and chaperones",ABC-35-CPLX,heme trafficking system CcmABCDE,heme trafficking system membrane protein CcmB,CcmB,1.0
"Post-translational modification, protein turnover, and chaperones",ABC-35-CPLX,heme trafficking system CcmABCDE,heme trafficking system membrane protein CcmC,CcmC,1.0
"Post-translational modification, protein turnover, and chaperones",ABC-35-CPLX,heme trafficking system CcmABCDE,periplasmic heme chaperone,CcmE,1.0
"Intracellular trafficking, secretion, and vesicular transport",ABC-35-CPLX,heme trafficking system CcmABCDE,heme trafficking system membrane protein CcmD,CcmD,1.0
Inorganic ion transport and metabolism,CPLX0-7810,heme-containing peroxidase/deferrochelatase,heme-containing peroxidase/deferrochelatase,EfeB,2.0
Aminio acid transport and metabolism,HISTDEHYD-CPLX,histidinal dehydrogenase,histidinal/histidinol dehydrogenase,HisD,2.0
Aminio acid transport and metabolism,ABC-14-CPLX,histidine ABC transporter,"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisM",HisM,1.0
Aminio acid transport and metabolism,ABC-14-CPLX,histidine ABC transporter,"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, ATP binding subunit",HisP,2.0
Aminio acid transport and metabolism,ABC-14-CPLX,histidine ABC transporter,"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisQ",HisQ,1.0
Signal transduction mechanisms,ABC-14-CPLX,histidine ABC transporter,histidine ABC transporter periplasmic binding protein,HisJ,1.0
"Translation, ribosomal structure, and biogenesis",HISS-CPLX,histidine-tRNA ligase,histidine-tRNA ligase,HisS,2.0
Aminio acid transport and metabolism,HISTPHOSTRANS-CPLX,histidinol-phosphate aminotransferase,histidinol-phosphate aminotransferase,HisC,2.0
Lipid transport and metabolism,HOLO-ACP-SYNTH-CPLX,holo-[acyl-carrier-protein] synthase,holo-[acyl-carrier-protein] synthase,AcpS,2.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-3323,holocytochrome c synthetase,periplasmic heme chaperone,CcmE,1.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-3323,holocytochrome c synthetase,holocytochrome c synthetase membrane subunit CcmF,CcmF,1.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-3323,holocytochrome c synthetase,holocytochrome c synthetase - thiol:disulfide oxidoreductase CcmG,CcmG,1.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-3323,holocytochrome c synthetase,holocytochrome c synthetase - thiol:disulfide oxidoreductase CcmH,CcmH,1.0
Aminio acid transport and metabolism,HOMSUCTRAN-CPLX,homoserine O-succinyltransferase,homoserine O-succinyltransferase,MetA,2.0
Aminio acid transport and metabolism,HOMOSERKIN-CPLX,homoserine kinase,homoserine kinase,ThrB,2.0
Energy production and conversion,FORMHYDROGI-CPLX,hydrogenase 1,hydrogenase 1 small subunit,HyaA,2.0
Energy production and conversion,FORMHYDROGI-CPLX,hydrogenase 1,hydrogenase 1 large subunit,HyaB,2.0
Energy production and conversion,CPLX0-8167,"hydrogenase 1, oxygen tolerant hydrogenase",hydrogenase 1 small subunit,HyaA,4.0
Energy production and conversion,CPLX0-8167,"hydrogenase 1, oxygen tolerant hydrogenase",hydrogenase 1 large subunit,HyaB,4.0
Energy production and conversion,FORMHYDROG2-CPLX,hydrogenase 2,hydrogenase 2 iron-sulfur protein,HybA,1.0
Energy production and conversion,FORMHYDROG2-CPLX,hydrogenase 2,hydrogenase 2 membrane subunit,HybB,1.0
Energy production and conversion,FORMHYDROG2-CPLX,hydrogenase 2,hydrogenase 2 large subunit,HybC,1.0
Energy production and conversion,FORMHYDROG2-CPLX,hydrogenase 2,hydrogenase 2 small subunit,HybO,1.0
Energy production and conversion,HYDROG3-CPLX,hydrogenase 3,formate hydrogenlyase subunit HycE,HycE,1.0
Energy production and conversion,HYDROG3-CPLX,hydrogenase 3,formate hydrogenlyase subunit HycG,HycG,1.0
Energy production and conversion,CPLX0-250,hydrogenase 4,hydrogenase 4 catalytic subunit HyfG,HyfG,1.0
Energy production and conversion,CPLX0-250,hydrogenase 4,hydrogenase 4 component H,HyfH,1.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-3561,hydrogenase isozymes nickel incorporation protein HypB,hydrogenase isoenzymes nickel incorporation protein HypB,HypB,2.0
Coenzyme transport and metabolism,CPLX0-8211,hydroxyethylthiazole kinase,hydroxyethylthiazole kinase,ThiM,2.0
Nucleotide transport and metabolism,CPLX0-3961,hydroxyisourate hydrolase / transthyretin-related protein,hydroxyisourate hydrolase / transthyretin-related protein,HiuH,4.0
Coenzyme transport and metabolism,HMP-P-KIN-CPLX,hydroxymethylpyrimidine kinase,pyridoxal kinase I,PdxK,4.0
Carbohydrate transport and metabolism,CPLX-171,hydroxypyruvate isomerase,hydroxypyruvate isomerase,Hyi,2.0
Nucleotide transport and metabolism,CPLX0-7685,hypoxanthine phosphoribosyltransferase,hypoxanthine phosphoribosyltransferase,Hpt,4.0
Aminio acid transport and metabolism,GLUTAMIDOTRANS-CPLX,imidazole glycerol phosphate synthase,imidazole glycerol phosphate synthase subunit HisF,HisF,1.0
Aminio acid transport and metabolism,GLUTAMIDOTRANS-CPLX,imidazole glycerol phosphate synthase,imidazole glycerol phosphate synthase subunit HisH,HisH,1.0
Aminio acid transport and metabolism,IMIDHISTID-CPLX,imidazoleglycerol-phosphate dehydratase,imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase,HisB,2.0
Inorganic ion transport and metabolism,CPLX0-243,inorganic pyrophosphatase,inorganic pyrophosphatase,Ppa,6.0
Nucleotide transport and metabolism,IMP-DEHYDROG-CPLX,inosine 5'-monophosphate dehydrogenase,inosine 5'-monophosphate dehydrogenase,GuaB,4.0
Carbohydrate transport and metabolism,CPLX0-322,inosine/guanosine kinase,inosine/guanosine kinase,Gsk,2.0
Cell wall/membrane/envelope biogenesis,ABC-45-CPLX,intermembrane phospholipid transport system,intermembrane phospholipid transport system protein MlaB,MlaB,2.0
Cell wall/membrane/envelope biogenesis,ABC-45-CPLX,intermembrane phospholipid transport system,"intermembrane phospholipid transport system, integral membrane subunit MlaE",MlaE,2.0
Cell wall/membrane/envelope biogenesis,ABC-45-CPLX,intermembrane phospholipid transport system,"intermembrane phospholipid transport system, ATP binding subunit MlaF",MlaF,2.0
Function unknown,ABC-45-CPLX,intermembrane phospholipid transport system,"intermembrane phospholipid transport system, substrate binding protein MlaD",MlaD,6.0
Function unknown,CPLX0-8244,intermembrane transport protein PqiB,intermembrane transport protein PqiB,PqiB,6.0
Inorganic ion transport and metabolism,ABC-11-CPLX,iron(III) hydroxamate ABC transporter,iron(III) hydroxamate ABC transporter membrane subunit,FhuB,1.0
Inorganic ion transport and metabolism,ABC-11-CPLX,iron(III) hydroxamate ABC transporter,iron(III) hydroxamate ABC transporter ATP binding subunit,FhuC,2.0
Inorganic ion transport and metabolism,ABC-11-CPLX,iron(III) hydroxamate ABC transporter,iron(III) hydroxamate ABC transporter periplasmic binding protein,FhuD,1.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-7682,iron-sulfur cluster carrier protein NfuA,iron-sulfur cluster carrier protein NfuA,NfuA,2.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-7617,iron-sulfur cluster insertion protein ErpA,iron-sulfur cluster insertion protein ErpA,ErpA,2.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-7908,iron-sulfur cluster insertion protein IscA,iron-sulfur cluster insertion protein IscA,IscA,4.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-7824,iron-sulfur cluster insertion protein SufA,iron-sulfur cluster insertion protein SufA,SufA,2.0
Nucleotide transport and metabolism,CPLX0-3021,isoaspartyl dipeptidase,isoaspartyl dipeptidase,IadA,8.0
"Secondary metabolites, biosynthesis, transport, and catabolism",MENF-CPLX,isochorismate synthase MenF,isochorismate synthase MenF,MenF,2.0
Energy production and conversion,ISOCITHASE-CPLX,isocitrate dehydrogenase,isocitrate dehydrogenase,Icd,2.0
Signal transduction mechanisms,CPLX0-230,isocitrate dehydrogenase kinase,isocitrate dehydrogenase kinase/phosphatase,AceK,2.0
Energy production and conversion,ISOCITHASE-P,isocitrate dehydrogenase-P,isocitrate dehydrogenase,Icd,2.0
Energy production and conversion,ISOCIT-LYASE,isocitrate lyase,isocitrate lyase,AceA,4.0
Lipid transport and metabolism,CPLX0-7691,isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor,putative acyl-CoA dehydrogenase AidB,AidB,4.0
Aminio acid transport and metabolism,CPLX0-7643,ketol-acid reductoisomerase (NADP+),ketol-acid reductoisomerase (NADP+),IlvC,4.0
Cell wall/membrane/envelope biogenesis,CPLX0-7627,large conductance mechanosensitive channel,large conductance mechanosensitive channel,MscL,5.0
Aminio acid transport and metabolism,ABC-304-CPLX,leucine / L-phenylalanine ABC transporter,branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivF,LivF,1.0
Aminio acid transport and metabolism,ABC-304-CPLX,leucine / L-phenylalanine ABC transporter,branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivG,LivG,1.0
Aminio acid transport and metabolism,ABC-304-CPLX,leucine / L-phenylalanine ABC transporter,branched chain amino acid/phenylalanine ABC transporter membrane subunit LivH,LivH,1.0
Aminio acid transport and metabolism,ABC-304-CPLX,leucine / L-phenylalanine ABC transporter,branched chain amino acid/phenylalanine ABC transporter membrane subunit LivM,LivM,1.0
Cell wall/membrane/envelope biogenesis,CPLX0-7415,lipid A disaccharide synthase,lipid A disaccharide synthase,LpxB,2.0
Energy production and conversion,E3-CPLX,lipoamide dehydrogenase,lipoamide dehydrogenase,LpdA,2.0
Cell wall/membrane/envelope biogenesis,CPLX0-7992,lipopolysaccharide transport system,lipopolysaccharide transport system protein LptA,LptA,1.0
Cell wall/membrane/envelope biogenesis,CPLX0-7992,lipopolysaccharide transport system,lipopolysaccharide transport system ATP binding protein LptB,LptB,2.0
Cell wall/membrane/envelope biogenesis,CPLX0-7992,lipopolysaccharide transport system,lipopolysaccharide transport system protein LptC,LptC,1.0
Cell wall/membrane/envelope biogenesis,CPLX0-7992,lipopolysaccharide transport system,lipopolysaccharide assembly protein LptD,LptD,1.0
Cell wall/membrane/envelope biogenesis,CPLX0-7992,lipopolysaccharide transport system,lipopolysaccharide assembly protein LptE,LptE,1.0
Cell motility,CPLX0-7992,lipopolysaccharide transport system,lipopolysaccharide transport system protein LptF,LptF,1.0
Cell motility,CPLX0-7992,lipopolysaccharide transport system,lipopolysaccharide transport system protein LptG,LptG,1.0
Cell wall/membrane/envelope biogenesis,CPLX0-7628,lipopolysaccharide transport system - outer membrane assembly complex,lipopolysaccharide assembly protein LptD,LptD,1.0
Cell wall/membrane/envelope biogenesis,CPLX0-7628,lipopolysaccharide transport system - outer membrane assembly complex,lipopolysaccharide assembly protein LptE,LptE,1.0
Cell wall/membrane/envelope biogenesis,CPLX0-8198,lipoprotein NlpI,lipoprotein NlpI,NlpI,2.0
Cell wall/membrane/envelope biogenesis,ABC-62-CPLX,lipoprotein release complex,lipoprotein release complex - inner membrane subunit,LolC,1.0
Cell wall/membrane/envelope biogenesis,ABC-62-CPLX,lipoprotein release complex,lipoprotein release complex - ATP binding subunit,LolD,2.0
Cell wall/membrane/envelope biogenesis,ABC-62-CPLX,lipoprotein release complex,lipoprotein release complex - inner membrane subunit,LolE,1.0
Coenzyme transport and metabolism,CPLX0-782,lipoyl synthase,lipoyl synthase,LipA,2.0
"Secondary metabolites, biosynthesis, transport, and catabolism",ACYLCOASYN-CPLX,long-chain-fatty-acid-CoA ligase,long-chain-fatty-acid-CoA ligase,FadD,2.0
Aminio acid transport and metabolism,LTAA-CPLX,low-specificity L-threonine aldolase,low-specificity L-threonine aldolase,LtaE,4.0
Aminio acid transport and metabolism,ABC-3-CPLX,lysine / arginine / ornithine ABC transporter,"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisM",HisM,1.0
Aminio acid transport and metabolism,ABC-3-CPLX,lysine / arginine / ornithine ABC transporter,"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, ATP binding subunit",HisP,2.0
Aminio acid transport and metabolism,ABC-3-CPLX,lysine / arginine / ornithine ABC transporter,"lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisQ",HisQ,1.0
Signal transduction mechanisms,ABC-3-CPLX,lysine / arginine / ornithine ABC transporter,lysine/arginine/ornithine ABC transporter periplasmic binding protein,ArgT,1.0
Aminio acid transport and metabolism,LDC2-CPLX,lysine decarboxylase 2,lysine decarboxylase 2,LdcC,10.0
"Translation, ribosomal structure, and biogenesis",LYSU-CPLX,lysine-tRNA ligase,lysine-tRNA ligase/Ap4A synthetase/Ap3A synthetase,LysU,2.0
"Translation, ribosomal structure, and biogenesis",LYSS-CPLX,"lysine-tRNA ligase, constitutive","lysine-tRNA ligase, constitutive",LysS,2.0
"Replication, recombination, and repair",CPLX0-7789,macrodomain Ter protein,macrodomain Ter protein,MatP,2.0
Energy production and conversion,MALATE-DEHASE,malate dehydrogenase,malate dehydrogenase,Mdh,2.0
Carbohydrate transport and metabolism,MALDEXPHOSPHORYL-CPLX,maltodextrin phosphorylase,maltodextrin phosphorylase,MalP,2.0
General function prediction only,MALTACETYLTRAN-CPLX,maltose O-acetyltransferase,maltose O-acetyltransferase,Maa,3.0
Carbohydrate transport and metabolism,ABC-16-CPLX,maltose ABC transporter,maltose ABC transporter periplasmic binding protein,MalE,1.0
Carbohydrate transport and metabolism,ABC-16-CPLX,maltose ABC transporter,maltose ABC transporter membrane subunit MalF,MalF,1.0
Carbohydrate transport and metabolism,ABC-16-CPLX,maltose ABC transporter,maltose ABC transporter membrane subunit MalG,MalG,1.0
Carbohydrate transport and metabolism,ABC-16-CPLX,maltose ABC transporter,maltose ABC transporter ATP binding subunit,MalK,2.0
Carbohydrate transport and metabolism,CPLX0-7655,maltose outer membrane channel / phage lambda receptor protein,maltose outer membrane channel / phage lambda receptor protein,LamB,3.0
Carbohydrate transport and metabolism,CPLX-166,mannitol-specific PTS enzyme II,mannitol-specific PTS enzyme IICBA component,MtlA,2.0
Carbohydrate transport and metabolism,CPLX-165,mannose-specific PTS enzyme II,mannose-specific PTS enzyme IIAB component,ManX,2.0
Carbohydrate transport and metabolism,CPLX-165,mannose-specific PTS enzyme II,mannose-specific PTS enzyme IIC component,ManY,1.0
Carbohydrate transport and metabolism,CPLX-165,mannose-specific PTS enzyme II,mannose-specific PTS enzyme IID component,ManZ,2.0
Carbohydrate transport and metabolism,CPLX0-7921,mannose-specific PTS enzyme IIAB component,mannose-specific PTS enzyme IIAB component,ManX,2.0
Energy production and conversion,TMAOREDUCTI-CPLX,menaquinol:trimethylamine N-oxide oxidoreductase I,trimethylamine N-oxide reductase 1,TorA,1.0
Coenzyme transport and metabolism,S-ADENMETSYN-CPLX,methionine adenosyltransferase,methionine adenosyltransferase,MetK,4.0
"Translation, ribosomal structure, and biogenesis",METG-CPLX,methionine-tRNA ligase,methionine-tRNA ligase,MetG,2.0
Signal transduction mechanisms,CPLX0-8104,methyl-accepting chemotaxis protein - dipeptide-sensing,methyl-accepting chemotaxis protein Tap,Tap,2.0
Signal transduction mechanisms,CPLX0-8103,methyl-accepting chemotaxis protein - serine-sensing,methyl-accepting chemotaxis protein Tsr,Tsr,2.0
Signal transduction mechanisms,CPLX0-8102,methyl-accepting chemotaxis protein Tar,methyl-accepting chemotaxis protein Tar,Tar,2.0
Signal transduction mechanisms,CPLX0-8105,methyl-accepting chemotaxis protein Trg - ribose/galactose/glucose-sensing,methyl-accepting chemotaxis protein Trg,Trg,2.0
Carbohydrate transport and metabolism,METHGLYSYN-CPLX,methylglyoxal synthase,methylglyoxal synthase,MgsA,6.0
Lipid transport and metabolism,CPLX0-254,methylmalonyl-CoA decarboxylase,methylmalonyl-CoA decarboxylase,ScpB,6.0
Cell wall/membrane/envelope biogenesis,CPLX0-7985,miniconductance mechanosensitive channel MscM,miniconductance mechanosensitive channel MscM,MscM,7.0
Cell wall/membrane/envelope biogenesis,CPLX0-7983,moderate conductance mechanosensitive channel YbiO,moderate conductance mechanosensitive channel YbiO,YbiO,7.0
Inorganic ion transport and metabolism,ABC-19-CPLX,molybdate ABC transporter,molybdate ABC transporter periplasmic binding protein,ModA,1.0
Inorganic ion transport and metabolism,ABC-19-CPLX,molybdate ABC transporter,molybdate ABC transporter membrane subunit,ModB,2.0
Inorganic ion transport and metabolism,ABC-19-CPLX,molybdate ABC transporter,molybdate ABC transporter ATP binding subunit,ModC,1.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-8110,molybdenum cofactor insertion chaperone PaoD,molybdenum cofactor insertion chaperone PaoD,PaoD,2.0
Coenzyme transport and metabolism,CPLX0-8163,molybdopterin adenylyltransferase,molybdopterin adenylyltransferase,Mog,3.0
