"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Component-Of"	"GO terms (biological process)"	"GO terms (cellular component)"	"GO terms (molecular function)"
"zinT"	"b1973"	2041375	2042025	"metal-binding protein ZinT"	"Chromosome Region 42, 2024539->2073917" // "zinT"	"cellular zinc ion homeostasis" // "cellular response to hydrogen peroxide" // "cellular response to cadmium ion" // "cellular response to zinc ion starvation"	"cell" // "periplasmic space" // "cytosol" // "outer membrane-bounded periplasmic space" // "cytoplasm"	"metal ion binding" // "zinc ion binding" // "cadmium ion binding"
"erpA"	"b0156"	176610	176954	"iron-sulfur cluster insertion protein ErpA"	"Chromosome Region 4, 148137->197515" // "erpA"	"protein maturation by [4Fe-4S] cluster transfer" // "protein maturation by iron-sulfur cluster transfer" // "aerobic respiration" // "anaerobic respiration" // "iron-sulfur cluster assembly" // "protein maturation"	"cytosol"	"iron-sulfur cluster binding" // "iron ion binding" // "structural molecule activity" // "metal ion binding" // "2 iron, 2 sulfur cluster binding" // "4 iron, 4 sulfur cluster binding"
"pphA"	"b1838"	1922313	1922969	"phosphoprotein phosphatase 1"	"sdsR-pphA" // "Chromosome Region 39, 1876402->1925780" // "pphA"	"protein dephosphorylation" // "response to temperature stimulus"	"cytosol"	"protein tyrosine/serine/threonine phosphatase activity" // "metal ion binding" // "hydrolase activity" // "phosphoprotein phosphatase activity"
"nuoF"	"b2284"	2400218	2401555	"NADH:quinone oxidoreductase subunit F"	"Chromosome Region 49, 2370192->2419570" // "nuoABCEFGHIJKLMN" // "nuoABCEFGHIJKLMN"	"cellular respiration" // "oxidation-reduction process" // "aerobic respiration"	"NADH dehydrogenase complex" // "plasma membrane" // "plasma membrane respiratory chain complex I"	"iron-sulfur cluster binding" // "oxidoreductase activity, acting on NAD(P)H" // "quinone binding" // "metal ion binding" // "FMN binding" // "NAD binding" // "4 iron, 4 sulfur cluster binding" // "NADH dehydrogenase (ubiquinone) activity"
"uspB"	"b3494"	3639385	3639720	"putative universal stress (ethanol tolerance) protein B"	"Chromosome Region 74, 3604667->3654045" // "uspB"	"response to ethanol"	"plasma membrane" // "integral component of membrane" // "membrane"	""
"hyaD"	"b0975"	1035770	1036357	"putative hydrogenase 1 maturation protease HyaD"	"Chromosome Region 21, 987580->1036958" // "hyaABCDEF"	"cellular protein modification process" // "positive regulation of catalytic activity" // "proteolysis" // "protein processing"	"cytosol"	"endopeptidase activity" // "protein binding" // "enzyme activator activity" // "metal ion binding" // "hydrolase activity" // "peptidase activity" // "aspartic-type endopeptidase activity"
"rcsD"	"b2216"	2313488	2316160	"RcsD-<i>N</i>-phospho-L-histidine" // "RcsD phosphotransferase"	"Chromosome Region 47, 2271434->2320812" // "rcsDB"	"protein autophosphorylation" // "signal transduction by protein phosphorylation" // "phosphorylation" // "peptidyl-histidine phosphorylation" // "phosphorelay signal transduction system"	"integral component of membrane" // "membrane" // "plasma membrane" // "integral component of plasma membrane"	"phosphotransferase activity, carboxyl group as acceptor" // "protein histidine kinase activity" // "phosphorelay sensor kinase activity" // "protein binding" // "transferase activity" // "kinase activity" // "ATP binding" // "nucleotide binding" // "histidine phosphotransfer kinase activity"
"nuoK"	"b2279"	2395043	2395345	"NADH:quinone oxidoreductase subunit K"	"Chromosome Region 49, 2370192->2419570" // "nuoABCEFGHIJKLMN" // "nuoABCEFGHIJKLMN"	"oxidation-reduction process" // "ATP synthesis coupled electron transport"	"integral component of membrane" // "membrane" // "NADH dehydrogenase complex" // "plasma membrane" // "plasma membrane respiratory chain complex I" // "integral component of plasma membrane"	"NADH dehydrogenase (quinone) activity" // "oxidoreductase activity, acting on NAD(P)H" // "quinone binding" // "protein binding" // "NADH dehydrogenase (ubiquinone) activity"
"dosP"	"b1489"	1563334	1565733	"oxygen-sensing c-di-GMP phosphodiesterase DosP"	"Chromosome Region 32, 1530749->1580127" // "dosCP"	"response to oxygen levels" // "response to stimulus"	"plasma membrane"	"oxygen sensor activity" // "metal ion binding" // "hydrolase activity" // "protein homodimerization activity" // "protein binding" // "cyclic-guanylate-specific phosphodiesterase activity" // "heme binding" // "magnesium ion binding"
"ubiE"	"b3833"	4018855	4019610	"bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinol methylase and demethylmenaquinone methyltransferase"	"Chromosome Region 82, 3999699->4049077" // "ubiJ" // "ubiB" // "ubiE" // "ubiE-yigP-ubiB"	"aerobic respiration" // "methylation" // "menaquinone biosynthetic process" // "ubiquinone biosynthetic process"	"cytoplasm" // "ubiquinone biosynthesis complex"	"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity" // "quinone cofactor methyltransferase activity" // "protein binding" // "S-adenosylmethionine:2-demethylmenaquinol-7 methyltransferase activity" // "transferase activity" // "methyltransferase activity" // "2-octaprenyl-6-methoxy-1,4-benzoquinone methylase activity"
"rimJ"	"b1066"	1125562	1126146	EG10851-MONOMER	"Chromosome Region 23, 1086338->1135716" // "rimJ"	"maturation of SSU-rRNA" // "N-terminal peptidyl-alanine acetylation" // "ribosome biogenesis" // "N-terminal peptidyl-serine acetylation" // "cellular protein modification process" // "N-terminal protein amino acid acetylation"	"cytosol" // "cytoplasm"	"peptide-serine-N-acetyltransferase activity" // "preribosome binding" // "transferase activity, transferring acyl groups" // "transferase activity" // "N-acetyltransferase activity" // "ribosomal-protein-alanine N-acetyltransferase activity"
"hyaA"	"b0972"	1032139	1033257	"hydrogenase 1 small subunit"	"Chromosome Region 21, 987580->1036958" // "hyaABCDEF"	"electron transport chain" // "hydrogen metabolic process" // "anaerobic electron transport chain" // "fermentation" // "oxidation-reduction process" // "anaerobic respiration"	"integral component of plasma membrane" // "ferredoxin hydrogenase complex" // "[Ni-Fe] hydrogenase complex" // "intrinsic component of periplasmic side of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	"protein binding" // "ferredoxin hydrogenase activity" // "hydrogenase (acceptor) activity" // "4 iron, 4 sulfur cluster binding" // "3 iron, 4 sulfur cluster binding" // "iron-sulfur cluster binding" // "metal ion binding" // "oxidoreductase activity" // "electron transfer activity"
"uspA"	"b3495"	3640111	3640545	"universal stress global stress response regulator"	"Chromosome Region 74, 3604667->3654045" // "uspA" // "uspA" // "uspA"	""	"cytoplasm"	"identical protein binding"
"nuoH"	"b2282"	2396465	2397442	"NADH:quinone oxidoreductase subunit H"	"Chromosome Region 49, 2370192->2419570" // "nuoABCEFGHIJKLMN" // "nuoABCEFGHIJKLMN"	"oxidation-reduction process" // "aerobic respiration"	"integral component of membrane" // "membrane" // "NADH dehydrogenase complex" // "plasma membrane" // "plasma membrane respiratory chain complex I" // "integral component of plasma membrane"	"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" // "quinone binding" // "NADH dehydrogenase (ubiquinone) activity"
"sdhE"	"b2897"	3040804	3041070	"FAD assembly factor"	"Chromosome Region 62, 3012119->3061497" // "cptBp" // "sdhE" // "ygfX"	"respiratory chain complex II assembly" // "protein flavinylation" // "succinate metabolic process" // "negative regulation of molecular function"	"cytoplasm" // "cytosol"	"protein binding"
"ubiG"	"b2232"	2339567	2340289	"bifunctional 3-demethylubiquinone-<i>8</i> 3-<i>O</i>-methyltransferase and 2-octaprenyl-6-hydroxyphenol methylase"	"Chromosome Region 48, 2320813->2370191" // "ubiG"	"hyperosmotic salinity response" // "methylation" // "ubiquinone biosynthetic process"	"cytoplasm" // "ubiquinone biosynthesis complex" // "cytoplasmic side of plasma membrane" // "cytosol"	"3-demethylubiquinone-n 3-O-methyltransferase activity" // "3-demethylubiquinone-8 3-O-methyltransferase activity" // "phosphatidylglycerol binding" // "protein binding" // "transferase activity" // "methyltransferase activity" // "2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity" // "3-demethylubiquinone-9 3-O-methyltransferase activity" // "2-octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone methyltransferase activity"
"bhsA"	"b1112"	1169073	1169330	"DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA"	"Chromosome Region 24, 1135717->1185095" // "bhsAp9" // "bhsA" // "ycfR"	"response to copper ion" // "biofilm formation" // "response to stress"	"membrane" // "cell outer membrane"	""
"dld"	"b2133"	2222185	2223900	"quinone-dependent D-lactate dehydrogenase"	"Chromosome Region 46, 2222055->2271433" // "dld"	"transmembrane transport" // "respiratory electron transport chain" // "anaerobic respiration" // "oxidation-reduction process" // "lactate metabolic process" // "lactate oxidation" // "aerobic respiration"	"integral component of plasma membrane" // "extrinsic component of cytoplasmic side of plasma membrane" // "membrane" // "plasma membrane"	"catalytic activity" // "quinone binding" // "FAD binding" // "oxidoreductase activity" // "oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor" // "flavin adenine dinucleotide binding" // "electron transfer activity"
"npr"	"b3206"	3347966	3348238	"Npr phosphorylated" // "phosphorelay protein NPr"	"Chromosome Region 68, 3308393->3357771" // "rpoN-hpf-ptsN-yhbJ-npr"	"phosphoenolpyruvate-dependent sugar phosphotransferase system" // "response to organonitrogen compound" // "protein phosphorylation"	"cytosol" // "cytoplasm"	"protein binding" // "transferase activity, transferring phosphorus-containing groups"
"nuoC"	"b2286"	2402055	2403845	"NADH:quinone oxidoreductase subunit CD"	"Chromosome Region 49, 2370192->2419570" // "nuoABCEFGHIJKLMN" // "nuoABCEFGHIJKLMN"	"oxidation-reduction process" // "metabolic process"	"cytoplasm" // "membrane" // "NADH dehydrogenase complex" // "plasma membrane" // "plasma membrane respiratory chain complex I"	"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" // "NADH dehydrogenase (quinone) activity" // "oxidoreductase activity, acting on NAD(P)H" // "catalytic activity" // "protein binding" // "NAD binding" // "quinone binding" // "NADH dehydrogenase (ubiquinone) activity"
"iraP"	"b0382"	401386	401646	"anti-adaptor protein for &sigma;<sup>S</sup> stabilization"	"Chromosome Region 9, 395032->444410" // "iraPp2" // "iraP" // "iraPp1" // "iraP"	"cellular response to starvation" // "positive regulation of transcription, DNA-templated" // "negative regulation of protein catabolic process" // "cellular response to phosphate starvation"	"cytosol" // "cytoplasm"	"anti-sigma factor antagonist activity" // "protein binding"
"cyoC"	"b0430"	448046	448660	"cytochrome <i>bo</i><sub>3</sub> ubiquinol oxidase subunit 3"	"Chromosome Region 10, 444411->493789" // "cyoABCDE"	"aerobic respiration" // "oxidation-reduction process" // "respiratory electron transport chain" // "electron transport coupled proton transport" // "aerobic electron transport chain"	"integral component of plasma membrane" // "integral component of membrane" // "membrane" // "cytochrome o ubiquinol oxidase complex" // "plasma membrane"	"cytochrome o ubiquinol oxidase activity" // "cytochrome-c oxidase activity" // "protein binding" // "oxidoreductase activity" // "heme-copper terminal oxidase activity" // "proton transmembrane transporter activity" // "cytochrome bo3 ubiquinol oxidase activity" // "electron transfer activity" // "oxidoreduction-driven active transmembrane transporter activity"
"nrdI"	"b2674"	2800965	2801375	"dimanganese-tyrosyl radical cofactor maintenance flavodoxin NrdI"	"Chromosome Region 57, 2765224->2814602" // "nrdHIEF"	"cellular protein modification process"	"cytosol"	"protein binding" // "FMN binding"
"hycE"	"b2721"	2844762	2846471	"formate hydrogenlyase subunit HycE"	"Chromosome Region 58, 2814603->2863981" // "hycABCDEFGHI"	"oxidation-reduction process"	"cytosol"	"NAD binding" // "quinone binding" // "oxidoreductase activity, acting on NAD(P)H" // "NADH dehydrogenase (ubiquinone) activity" // "metal ion binding" // "protein binding" // "4 iron, 4 sulfur cluster binding" // "iron-sulfur cluster binding" // "oxidoreductase activity" // "nickel cation binding"
"uspG"	"b0607"	641439	641867	"universal stress protein G"	"Chromosome Region 13, 592548->641926" // "uspG"	"nucleoside monophosphate phosphorylation" // "protein autophosphorylation" // "protein adenylylation" // "regulation of cell motility" // "response to stress"	"cytoplasm"	"protein homodimerization activity" // "adenylate kinase activity" // "protein binding"
"ttdB"	"b3062"	3207371	3207976	"L(+)-tartrate dehydratase subunit &beta;"	"Chromosome Region 65, 3160256->3209634" // "ttdABT"	"response to heat"	"cytosol"	"hydro-lyase activity" // "lyase activity" // "L(+)-tartrate dehydratase activity"
"rimO"	"b0835"	876710	878035	"ribosomal protein S12 methylthiotransferase RimO"	"Chromosome Region 18, 839443->888821" // "rimO"	"tRNA modification" // "peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid"	"cytosol" // "cytoplasm"	"methylthiotransferase activity" // "protein methylthiotransferase activity" // "iron-sulfur cluster binding" // "transferase activity" // "catalytic activity" // "aspartic acid methylthiotransferase activity" // "4 iron, 4 sulfur cluster binding" // "metal ion binding"
"hycB"	"b2724"	2849238	2849849	"formate hydrogenlyase subunit HycB"	"Chromosome Region 58, 2814603->2863981" // "hycABCDEFGHI"	"uracil catabolic process" // "thymine catabolic process" // "oxidation-reduction process"	"cytosol"	"NADP binding" // "dihydropyrimidine dehydrogenase (NADP+) activity" // "uracil binding" // "metal ion binding" // "4 iron, 4 sulfur cluster binding" // "iron-sulfur cluster binding"
"rapA"	"b0059"	60358	63264	"RNA polymerase-binding ATPase and RNAP recycling factor"	"Chromosome Region 2, 49379->98757" // "hepA" // "rluA" // "rapA" // "hepAp"	"regulation of transcription, DNA-templated" // "positive regulation of transcription, DNA-templated"	"nucleus" // "cytoplasm"	"DNA-dependent ATPase activity" // "bacterial-type RNA polymerase core enzyme binding" // "protein binding" // "hydrolase activity, acting on acid anhydrides" // "hydrolase activity" // "ATPase activity" // "ATP binding" // "helicase activity" // "DNA binding" // "nucleic acid binding" // "nucleotide binding"
